document_id,building,relative_path,filename,extension,size_bytes,last_modified,has_text
.DS_Store,UNKNOWN,.DS_Store,.DS_Store,,6148,2025-12-03T13:19:07,False
Exchequers_Court/1.0 Architectural (File 3).pdf,Exchequers_Court,Exchequers_Court/1.0 Architectural (File 3).pdf,1.0 Architectural (File 3).pdf,.pdf,153014694,2025-12-03T02:12:00,False
"Exchequers_Court/5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf",Exchequers_Court,"Exchequers_Court/5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf","5 Year Fixed Wiring Tests, Landlord, Conflex Sungard Testing Done 02.pdf",.pdf,5879817,2025-12-03T02:13:00,True
"Exchequers_Court/Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf",Exchequers_Court,"Exchequers_Court/Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf","Exchequer Court Vol 12, Appraisal & Testing of Retained Elements, Waterman Partnership, Supp Rep.pdf",.pdf,10438382,2025-12-03T02:14:00,True
Exchequers_Court/Close Control Air Conditioning.pdf,Exchequers_Court,Exchequers_Court/Close Control Air Conditioning.pdf,Close Control Air Conditioning.pdf,.pdf,2366878,2025-12-03T02:14:00,True
Exchequers_Court/7.1 Atria Curtain Walling.pdf,Exchequers_Court,Exchequers_Court/7.1 Atria Curtain Walling.pdf,7.1 Atria Curtain Walling.pdf,.pdf,21087475,2025-12-03T02:14:00,False
Exchequers_Court/Water Hygiene Log Book & Policy Document (File 4).pdf,Exchequers_Court,Exchequers_Court/Water Hygiene Log Book & Policy Document (File 4).pdf,Water Hygiene Log Book & Policy Document (File 4).pdf,.pdf,11491964,2025-12-03T02:14:00,True
"Exchequers_Court/Trident, Water Services Logbook.pdf",Exchequers_Court,"Exchequers_Court/Trident, Water Services Logbook.pdf","Trident, Water Services Logbook.pdf",.pdf,17269390,2025-12-03T02:14:00,True
"Exchequers_Court/6.4, Landscaping (FNSF00059).pdf",Exchequers_Court,"Exchequers_Court/6.4, Landscaping (FNSF00059).pdf","6.4, Landscaping (FNSF00059).pdf",.pdf,51758907,2025-12-03T02:13:00,False
Exchequers_Court/3.0 Structural (File 1).pdf,Exchequers_Court,Exchequers_Court/3.0 Structural (File 1).pdf,3.0 Structural (File 1).pdf,.pdf,44377284,2025-12-03T02:13:00,False
Exchequers_Court/1286 Coms File.pdf,Exchequers_Court,Exchequers_Court/1286 Coms File.pdf,1286 Coms File.pdf,.pdf,83064568,2025-12-03T02:12:00,True
Exchequers_Court/Distribution Board Check.pdf,Exchequers_Court,Exchequers_Court/Distribution Board Check.pdf,Distribution Board Check.pdf,.pdf,493335,2025-12-03T02:14:00,True
Exchequers_Court/Appraisal & Testing of Retained Elements (File 2).pdf,Exchequers_Court,Exchequers_Court/Appraisal & Testing of Retained Elements (File 2).pdf,Appraisal & Testing of Retained Elements (File 2).pdf,.pdf,849602,2025-12-03T02:14:00,True
"Exchequers_Court/Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf",Exchequers_Court,"Exchequers_Court/Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf","Air-Conditioners, PKH-1.6, 2, 2.5, 3, 4FK(H)(S)A.pdf",.pdf,3596437,2025-12-03T02:14:00,True
"Exchequers_Court/BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf",Exchequers_Court,"Exchequers_Court/BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf","BLU 500 P AB, BLU 700 P AB, BLU 1000 P AB, BLU 1200 P AB, BLU 1400 P AB,.pdf",.pdf,24797019,2025-12-03T02:14:00,True
Exchequers_Court/Appraisal & Testing of Retained Elements (File 1).pdf,Exchequers_Court,Exchequers_Court/Appraisal & Testing of Retained Elements (File 1).pdf,Appraisal & Testing of Retained Elements (File 1).pdf,.pdf,474764,2025-12-03T02:14:00,True
Exchequers_Court/Water Hygiene Log Book & Policy Document (File 1).pdf,Exchequers_Court,Exchequers_Court/Water Hygiene Log Book & Policy Document (File 1).pdf,Water Hygiene Log Book & Policy Document (File 1).pdf,.pdf,12807269,2025-12-03T02:14:00,True
"Exchequers_Court/BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf",Exchequers_Court,"Exchequers_Court/BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf","BMS Equipment Upgrade, Exchequer Court, 33 St Marys Court, London, EC3A 8AA, File 2 of 2.pdf",.pdf,33833136,2025-12-03T02:14:00,True
"Exchequers_Court/Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf",Exchequers_Court,"Exchequers_Court/Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf","Exchequer Court Vol 11, Appraisal & Testing of Retained Elements, Waterman Partnership, Phase 6 Rep.pdf",.pdf,20193534,2025-12-03T02:14:00,True
Exchequers_Court/1.0 Architectural (File 1).pdf,Exchequers_Court,Exchequers_Court/1.0 Architectural (File 1).pdf,1.0 Architectural (File 1).pdf,.pdf,170613356,2025-12-03T02:11:00,False
"Exchequers_Court/BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf",Exchequers_Court,"Exchequers_Court/BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf","BMS Equiptment Upgrade, Exchequer Court, 33 St Mary Axe, File 1 of 2.pdf",.pdf,48486018,2025-12-03T02:14:00,True
Exchequers_Court/2.0 Building Services.pdf,Exchequers_Court,Exchequers_Court/2.0 Building Services.pdf,2.0 Building Services.pdf,.pdf,53345392,2025-12-03T02:13:00,True
Exchequers_Court/Electrial Installation Testing (File 1).pdf,Exchequers_Court,Exchequers_Court/Electrial Installation Testing (File 1).pdf,Electrial Installation Testing (File 1).pdf,.pdf,2238482,2025-12-03T02:14:00,True
Exchequers_Court/38GL - 38YL Installation Manual.pdf,Exchequers_Court,Exchequers_Court/38GL - 38YL Installation Manual.pdf,38GL - 38YL Installation Manual.pdf,.pdf,67276002,2025-12-03T02:13:00,True
Exchequers_Court/C3-05 Operation Manual (File 2).pdf,Exchequers_Court,Exchequers_Court/C3-05 Operation Manual (File 2).pdf,C3-05 Operation Manual (File 2).pdf,.pdf,3422488,2025-12-03T02:14:00,True
Edocs/Operating_Manual_GB_01.pdf,Edocs,Edocs/Operating_Manual_GB_01.pdf,Operating_Manual_GB_01.pdf,.pdf,519040,2025-12-03T02:11:00,True
Edocs/ASSA ABLOY O&M.pdf,Edocs,Edocs/ASSA ABLOY O&M.pdf,ASSA ABLOY O&M.pdf,.pdf,129982,2025-12-03T02:11:00,True
Edocs/Siemens 5SY MCB Range.pdf,Edocs,Edocs/Siemens 5SY MCB Range.pdf,Siemens 5SY MCB Range.pdf,.pdf,1636580,2025-12-03T02:11:00,True
Edocs/4.DANFOSS AME435 ACTUATOR.pdf,Edocs,Edocs/4.DANFOSS AME435 ACTUATOR.pdf,4.DANFOSS AME435 ACTUATOR.pdf,.pdf,1111174,2025-12-03T02:11:00,True
Edocs/Sprinkler Auto Transfer Switch - Quick Start Guide June 2018.pdf,Edocs,Edocs/Sprinkler Auto Transfer Switch - Quick Start Guide June 2018.pdf,Sprinkler Auto Transfer Switch - Quick Start Guide June 2018.pdf,.pdf,388628,2025-12-03T02:11:00,True
Edocs/Acti 9 Isobar P - B Type_SEA9BN12.pdf,Edocs,Edocs/Acti 9 Isobar P - B Type_SEA9BN12.pdf,Acti 9 Isobar P - B Type_SEA9BN12.pdf,.pdf,87522,2025-12-03T02:11:00,True
Edocs/VDLHI302_VFG-VFGS2-VFU.pdf,Edocs,Edocs/VDLHI302_VFG-VFGS2-VFU.pdf,VDLHI302_VFG-VFGS2-VFU.pdf,.pdf,1515522,2025-12-03T02:11:00,True
Edocs/COSHH ASH BD601 Revised August 2015.pdf,Edocs,Edocs/COSHH ASH BD601 Revised August 2015.pdf,COSHH ASH BD601 Revised August 2015.pdf,.pdf,165708,2025-12-03T02:11:00,True
Edocs/Pyrobel 25 Data Sheet copy.pdf,Edocs,Edocs/Pyrobel 25 Data Sheet copy.pdf,Pyrobel 25 Data Sheet copy.pdf,.pdf,1877609,2025-12-03T02:11:00,False
Edocs/Weidmuller 124084 Data Sheet.pdf,Edocs,Edocs/Weidmuller 124084 Data Sheet.pdf,Weidmuller 124084 Data Sheet.pdf,.pdf,550611,2025-12-03T02:11:00,True
Edocs/Pyrobel 25 Data Sheet.pdf,Edocs,Edocs/Pyrobel 25 Data Sheet.pdf,Pyrobel 25 Data Sheet.pdf,.pdf,1877609,2025-12-03T02:11:00,False
Edocs/Hydro MPC-e - Installation and Operating instructions.pdf,Edocs,Edocs/Hydro MPC-e - Installation and Operating instructions.pdf,Hydro MPC-e - Installation and Operating instructions.pdf,.pdf,8101222,2025-12-03T02:11:00,True
Edocs/O&M Manual - Sectional Tanks.pdf,Edocs,Edocs/O&M Manual - Sectional Tanks.pdf,O&M Manual - Sectional Tanks.pdf,.pdf,1736588,2025-12-03T02:11:00,False
Edocs/All Weidmuller Relays.pdf,Edocs,Edocs/All Weidmuller Relays.pdf,All Weidmuller Relays.pdf,.pdf,3972023,2025-12-03T02:11:00,True
Edocs/Sprinkler ATS Instruction Manual.pdf,Edocs,Edocs/Sprinkler ATS Instruction Manual.pdf,Sprinkler ATS Instruction Manual.pdf,.pdf,3165990,2025-12-03T02:11:00,True
Edocs/GT.pdf,Edocs,Edocs/GT.pdf,GT.pdf,.pdf,980292,2025-12-03T02:11:00,True
Edocs/Cleaning & Maintenance.pdf,Edocs,Edocs/Cleaning & Maintenance.pdf,Cleaning & Maintenance.pdf,.pdf,115537,2025-12-03T02:11:00,True
Edocs/214344 - Control Philosophy including ED.pdf,Edocs,Edocs/214344 - Control Philosophy including ED.pdf,214344 - Control Philosophy including ED.pdf,.pdf,898365,2025-12-03T02:11:00,True
Edocs/Drawing package - 52 Lime Street - Wet Risers.pdf,Edocs,Edocs/Drawing package - 52 Lime Street - Wet Risers.pdf,Drawing package - 52 Lime Street - Wet Risers.pdf,.pdf,7121679,2025-12-03T02:11:00,True
Edocs/COSHH ASH NT 502 Rev August 2015.pdf,Edocs,Edocs/COSHH ASH NT 502 Rev August 2015.pdf,COSHH ASH NT 502 Rev August 2015.pdf,.pdf,176503,2025-12-03T02:11:00,True
Edocs/VDLET102_AME65x.pdf,Edocs,Edocs/VDLET102_AME65x.pdf,VDLET102_AME65x.pdf,.pdf,1735888,2025-12-03T02:11:00,True
Edocs/NB-NBG.pdf,Edocs,Edocs/NB-NBG.pdf,NB-NBG.pdf,.pdf,3647473,2025-12-03T02:11:00,True
Edocs/C3S Pyrocet Data Sheet.pdf,Edocs,Edocs/C3S Pyrocet Data Sheet.pdf,C3S Pyrocet Data Sheet.pdf,.pdf,261904,2025-12-03T02:11:00,True
Edocs/ASH  De Rust e Revised August 15.pdf,Edocs,Edocs/ASH  De Rust e Revised August 15.pdf,ASH  De Rust e Revised August 15.pdf,.pdf,170617,2025-12-03T02:11:00,True
Edocs/Appendix A.pdf,Edocs,Edocs/Appendix A.pdf,Appendix A.pdf,.pdf,4616392,2025-12-03T02:11:00,True
Edocs/ASH BD 601 v2.pdf,Edocs,Edocs/ASH BD 601 v2.pdf,ASH BD 601 v2.pdf,.pdf,34597,2025-12-03T02:11:00,True
Edocs/HP111 DN250.pdf,Edocs,Edocs/HP111 DN250.pdf,HP111 DN250.pdf,.pdf,1162038,2025-12-03T02:11:00,True
Edocs/Drawing package - 52 Lime Street - Sprinklers.pdf,Edocs,Edocs/Drawing package - 52 Lime Street - Sprinklers.pdf,Drawing package - 52 Lime Street - Sprinklers.pdf,.pdf,11581945,2025-12-03T02:11:00,True
Edocs/6mm Laminated glass.pdf,Edocs,Edocs/6mm Laminated glass.pdf,6mm Laminated glass.pdf,.pdf,52433,2025-12-03T02:11:00,True
Edocs/COSHH ASH 304i Rev August 2015.pdf,Edocs,Edocs/COSHH ASH 304i Rev August 2015.pdf,COSHH ASH 304i Rev August 2015.pdf,.pdf,175399,2025-12-03T02:11:00,True
Edocs/SOCOTEC UK - ESG 250T - SDS.pdf,Edocs,Edocs/SOCOTEC UK - ESG 250T - SDS.pdf,SOCOTEC UK - ESG 250T - SDS.pdf,.pdf,91324,2025-12-03T02:11:00,True
Edocs/DP-25.pdf,Edocs,Edocs/DP-25.pdf,DP-25.pdf,.pdf,272737,2025-12-03T02:11:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Mechanical Services, Volume 1, 1.4.4 - Section I.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M Instructions for the Mechanical Services, Volume 1, 1.4.4 - Section I.pdf","5-7, Carlton Gardens, London, SW1, O&M Instructions for the Mechanical Services, Volume 1, 1.4.4 - Section I.pdf",.pdf,54368098,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M, Volume 5, 5.2.2 - Section 3 Part 2.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&M, Volume 5, 5.2.2 - Section 3 Part 2.pdf","5-7, Carlton Gardens, London, SW1, O&M, Volume 5, 5.2.2 - Section 3 Part 2.pdf",.pdf,13489383,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.1 - Sections A-F.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.1 - Sections A-F.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Mechanical Services, Volume 1, 1.1 - Sections A-F.pdf",.pdf,6967950,2025-12-03T02:18:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.1 - Sections A-F.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.1 - Sections A-F.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.1 - Sections A-F.pdf",.pdf,11763174,2025-12-03T02:16:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.1 - Section H (H1).pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.1 - Section H (H1).pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.1 - Section H (H1).pdf",.pdf,38869930,2025-12-03T02:16:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.1 - Lift Number 1.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.1 - Lift Number 1.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.1 - Lift Number 1.pdf",.pdf,70430498,2025-12-03T02:17:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.2 - Section G.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.2 - Section G.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.2 - Section G.pdf",.pdf,17642941,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.3 - Section H (H2-H7).pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.3 - Section H (H2-H7).pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Electrical Services, Volume 3, 3.3.3 - Section H (H2-H7).pdf",.pdf,154470563,2025-12-03T02:16:00,True
